lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
19368839,MouridsenFarm,197095,-IA-,22,193,True,6509648,193,1652,League of Order,741,6509648,764080,1965505,2753873,1026190,-,552919,-,20,39,-,405100271,529647010,338003629,50676098,-,530782375,246,1180,670314207,818992929,526646890,117124200,36422,0,0,0,0,0
17787635,NgáoKing3,197095,-IA-,23,193,True,6273485,193,14548,League of Order,-,6291511,1236023,1125703,3233409,678350,92006,1683044,-,80,11712,1,1352546212,1192849995,127291500,-,-,-,-,4803,1432829860,1389932489,379417122,90994250,26411,793,5442,14,0,8299
18006510,KaroloFarm,197095,-IA-,21,193,True,6272647,193,162812,League of Order,-,6272647,1642609,1122700,2307368,1199970,-,522624,-,20,1843,-,276364630,248848996,276951904,57844047,-,-,-,2896,335654900,327988400,214565900,79043150,15242,676,59,0,0,162077
9919293,NgaoKing2,197095,-IA-,23,193,True,6241755,193,12300,League of Order,-,6260579,1053646,1050569,3383270,754270,54991,1207877,-,73,12188,1,1223887752,1354297540,156535475,-,-,-,-,3960,1332942616,1421919015,408195374,86819400,19795,350,8034,18,0,3898
17786874,NgáoKing4,197095,-IA-,23,193,True,6181138,193,7107,League of Order,-,6205506,1004979,914347,3588712,673100,41925,1347225,-,294,11645,-,1347089810,1174437184,122850000,-,-,-,-,4627,1365772413,1314555207,375498065,85885450,19820,604,4194,0,0,2309
8099775,TheJasson1k,290821,-Mgl,20,193,True,6031108,193,138253,Wilderburg,-,6163050,1367278,869304,1906416,1815110,22193,4292632,28,1079,3418,2,38983903,32985820,25179039,9132106,1477,-,-,3119,84804230,85625140,55136820,17395290,10251,0,960,473,51465,66199
7210527,ᶜᵒᵐᵐᵃⁿᵈᵉʳbrook,197095,-IA-,23,193,True,5927988,193,580567,Springwardens,-,5927988,1112833,386177,3077928,1351050,88275,987314,101,360,894,42,273494234,515339545,302633371,9509423,-,700648078,320,7871,537691968,812300228,445640598,37780460,28794,0,11546,32352,226454,209739
8344680,Sahil8881,-,-,19,193,True,5906894,23024,414350,Wilderburg,-,5906894,1798742,753466,1737647,1617039,57430,4938630,79,913,4873,14,116470914,126129706,84666275,22740925,-,1812927,2,5227,180564864,194282346,119053453,45809784,16533,0,4166,48224,142925,109884
12206202,ⁿᵃˢZavy IVᵐⁱⁿⁱ,201096,~IG~,23,193,True,5889823,193,1421,Wilderburg,-,5889823,774914,527455,3840754,746700,13074,143037,-,7,20,-,294497021,291418274,237196342,24593430,-,-,-,1956,443263600,442501200,305423750,62019200,25544,0,1419,2,0,0
18018677,retokill mini 2nd,197158,~ID~,23,193,True,5857488,193,-,League of Order,-,5857488,848788,1089205,3604145,315350,-,15827,-,48,62,-,663392705,687925143,326175619,8911880,-,300243098,121,1399,831950892,867498495,450879239,85583880,14925,0,0,0,0,0
